Frequency BlockFrequency Runs LongRunOfOnes Rank DiscreteFourierTransform OvTemplMatch Maurers LinCompl Serial ApproxEnt CumulativeSums RndExc RndExcVar all_tests_above_alpha
0.723674 0.543813 0.219602 0.077198 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.223220 0.000000 0.000000 0
0.376759 0.320847 0.913690 0.036533 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.737518 0.000000 0.000000 0
0.077100 0.757223 0.794497 0.973813 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.154200 0.000000 0.000000 0
0.859684 0.339740 0.597710 0.507189 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.499939 0.000000 0.000000 0
0.859684 0.900416 0.481111 0.810056 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.737518 0.000000 0.000000 0
0.723674 0.676676 0.293425 0.206484 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.654761 0.000000 0.000000 0
0.859684 0.919699 0.110904 0.247501 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.818770 0.000000 0.000000 0
0.595883 0.965858 0.276635 0.460248 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.654761 0.000000 0.000000 0
0.288844 0.965858 0.001872 0.059007 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.574764 0.000000 0.000000 0
0.376759 0.730621 0.804645 0.594441 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.369656 0.000000 0.000000 0
0.376759 0.543813 0.774689 0.685706 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.737518 0.000000 0.000000 0
0.051830 0.101554 0.373001 0.121742 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.084119 0.000000 0.000000 0
0.288844 0.285433 0.332173 0.541472 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.223220 0.000000 0.000000 0
0.215925 0.066582 0.562802 0.621454 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.314554 0.000000 0.000000 0
1.000000 0.649631 0.723674 0.332060 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.818770 0.000000 0.000000 0
0.157299 0.223814 1.000000 0.272390 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.186156 0.000000 0.000000 0
0.595883 0.703720 0.463206 0.305133 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.499939 0.000000 0.000000 0
0.157299 0.238103 0.007066 0.129125 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.223220 0.000000 0.000000 0
0.479500 0.622714 0.756126 0.298569 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.737518 0.000000 0.000000 0
0.215925 0.124652 0.448689 0.969343 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.154200 0.000000 0.000000 0
0.051830 0.339740 0.265764 0.759151 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.034021 0.000000 0.000000 0
0.479500 0.596039 0.267349 0.388787 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.818770 0.000000 0.000000 0
1.000000 0.900416 0.723674 0.914509 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.984155 0.000000 0.000000 0
0.595883 0.359426 0.577929 0.158324 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.818770 0.000000 0.000000 0
0.288844 0.359426 0.539838 0.451073 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.223220 0.000000 0.000000 0
0.479500 0.302747 0.100674 0.711009 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.574764 0.000000 0.000000 0
0.595883 0.469454 0.577929 0.154779 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.737518 0.000000 0.000000 0
0.376759 0.919699 0.642569 0.201332 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.431439 0.000000 0.000000 0
0.723674 0.808847 0.004480 0.416651 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.984155 0.000000 0.000000 0
0.033895 0.359426 0.890704 0.808819 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.034021 0.000000 0.000000 0
0.723674 0.937143 0.382288 0.257132 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.818770 0.000000 0.000000 0
0.051830 0.066582 0.195310 0.227720 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.034021 0.000000 0.000000 0
0.288844 0.469454 0.780504 0.759151 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.223220 0.000000 0.000000 0
0.033895 0.493624 0.216191 0.450340 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.067790 0.000000 0.000000 0
0.215925 0.879487 0.689328 0.550069 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.369656 0.000000 0.000000 0
0.376759 0.379904 0.804645 0.249038 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.369656 0.000000 0.000000 0
0.859684 0.833498 0.033620 0.390715 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.574764 0.000000 0.000000 0
0.157299 0.469454 0.019566 0.310703 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.314554 0.000000 0.000000 0
0.157299 0.730621 0.719471 0.889318 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.186156 0.000000 0.000000 0
0.077100 0.223814 0.642414 0.203286 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.054251 0.000000 0.000000 0
0.595883 0.569709 0.276635 0.856871 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.949266 0.000000 0.000000 0
0.479500 0.919699 0.964611 0.102365 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.499939 0.000000 0.000000 0
1.000000 0.900416 0.157299 0.512625 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.949266 0.000000 0.000000 0
0.111612 0.518430 0.136054 0.388787 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.103660 0.000000 0.000000 0
0.595883 0.833498 0.389284 0.216483 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.737518 0.000000 0.000000 0
0.376759 0.919699 0.239771 0.908716 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.737518 0.000000 0.000000 0
0.723674 0.900416 0.603211 0.457579 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.949266 0.000000 0.000000 0
0.051830 0.253125 0.571124 0.176751 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.067790 0.000000 0.000000 0
0.595883 0.730621 0.149234 0.759151 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.949266 0.000000 0.000000 0
0.111612 0.676676 0.094723 0.029674 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.186156 0.000000 0.000000 0
0.215925 0.569709 0.891044 0.856871 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.431439 0.000000 0.000000 0
0.479500 0.808847 0.625520 0.507189 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.892023 0.000000 0.000000 0
0.595883 0.423190 0.463206 0.436015 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.892023 0.000000 0.000000 0
0.723674 0.900416 0.283380 0.839146 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.949266 0.000000 0.000000 0
0.288844 0.900416 0.780504 0.835349 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.574764 0.000000 0.000000 0
0.157299 0.757223 0.208725 0.889318 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.223220 0.000000 0.000000 0
0.859684 0.197355 0.158010 0.403786 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.431439 0.000000 0.000000 0
0.288844 0.076773 0.663770 0.674916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.369656 0.000000 0.000000 0
1.000000 0.162639 0.595883 0.539090 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.737518 0.000000 0.000000 0
0.595883 0.253125 0.163797 0.539090 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.737518 0.000000 0.000000 0
0.723674 0.833498 0.991176 0.884161 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.818770 0.000000 0.000000 0
1.000000 0.649631 0.723674 0.479470 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.892023 0.000000 0.000000 0
0.288844 0.622714 0.539838 0.835349 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.431439 0.000000 0.000000 0
0.215925 0.339740 0.044429 0.541472 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.431439 0.000000 0.000000 0
0.051830 0.268897 0.730551 0.565950 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.054251 0.000000 0.000000 0
0.288844 0.320847 0.332173 0.081760 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.369656 0.000000 0.000000 0
0.595883 0.808847 0.224272 0.150002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.654761 0.000000 0.000000 0
0.077100 0.253125 0.313489 0.557455 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.126863 0.000000 0.000000 0
0.013328 0.066582 0.092462 0.237554 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.020739 0.000000 0.000000 0
0.723674 0.857112 0.153679 0.789092 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.654761 0.000000 0.000000 0
0.859684 0.965858 0.378136 0.292447 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.984155 0.000000 0.000000 0
0.376759 0.879487 0.642569 0.386166 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.654761 0.000000 0.000000 0
0.859684 0.703720 0.721539 0.682748 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.818770 0.000000 0.000000 0
0.595883 0.088376 0.494133 0.017475 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.369656 0.000000 0.000000 0
0.859684 0.965858 0.861821 0.763188 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.984155 0.000000 0.000000 0
0.595883 0.649631 0.878988 0.674916 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.737518 0.000000 0.000000 0
0.859684 0.543813 0.861821 0.318329 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.984155 0.000000 0.000000 0
0.479500 0.703720 0.964611 0.884161 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.737518 0.000000 0.000000 0
0.376759 0.596039 0.804645 0.086749 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.499939 0.000000 0.000000 0
0.111612 0.833498 0.682841 0.229961 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.223220 0.000000 0.000000 0
0.111612 0.197355 0.441730 0.208319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.084119 0.000000 0.000000 0
0.288844 0.676676 0.415820 0.808819 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.431439 0.000000 0.000000 0
0.859684 0.900416 0.375153 0.682748 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.984155 0.000000 0.000000 0
0.376759 0.339740 0.913690 0.993594 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.369656 0.000000 0.000000 0
0.008010 0.066582 0.776793 0.286851 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.007072 0.000000 0.000000 0
0.595883 0.676676 0.362430 0.644231 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.737518 0.000000 0.000000 0
1.000000 0.919699 0.288844 0.150002 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.984155 0.000000 0.000000 0
0.479500 0.808847 0.505723 0.017046 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.654761 0.000000 0.000000 0
0.051830 0.197355 0.839853 0.075172 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.103660 0.000000 0.000000 0
0.215925 0.197355 0.620729 0.856871 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.154200 0.000000 0.000000 0
0.723674 0.730621 0.211407 0.732505 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.654761 0.000000 0.000000 0
0.723674 0.543813 0.032806 0.496028 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.892023 0.000000 0.000000 0
0.479500 0.622714 0.625520 0.201332 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.369656 0.000000 0.000000 0
0.859684 0.703720 0.289984 0.789092 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.818770 0.000000 0.000000 0
0.288844 0.133331 0.039198 0.496028 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.223220 0.000000 0.000000 0
0.157299 0.210238 1.000000 0.450340 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.186156 0.000000 0.000000 0
0.288844 0.320847 0.780504 0.557455 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.186156 0.000000 0.000000 0
1.000000 0.808847 0.595883 0.218488 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.949266 0.000000 0.000000 0
0.376759 0.937143 0.913690 0.386166 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.369656 0.000000 0.000000 0
0.215925 0.596039 0.448689 0.286379 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.265870 0.000000 0.000000 0

# AlphaSums normalized
0.990000 1.000000 0.970000 1.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.990000 0.000000 0.000000 0.000000

# Histograms
0.130000 0.060000 0.100000 0.090000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 1.000000 0.110000 1.000000 1.000000 
0.100000 0.080000 0.090000 0.080000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.110000 0.000000 0.000000 
